id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
01011101,2160,451,329,596,445,248,59,32,233,6504,1313,99,1239,1859,11,15,1,3,2,87,1221,1846,1011101
01011102,181,107,26,19,16,7,6,–,–,351,90,7,84,174,–,–,1,2,2,6,82,172,1011102
01011103,2773,120,522,1169,581,228,86,67,546,9197,2132,234,1721,2224,17,19,38,83,76,179,1618,2131,1011103
01011104,2013,205,413,620,517,179,55,24,182,6366,1504,133,1317,1621,2,3,3,4,6,128,1311,1613,1011104
01011105,1050,45,158,325,295,152,51,24,185,3767,1064,46,1031,1006,–,–,1,1,2,45,1030,1004,1011105
01011201,1461,58,146,150,611,476,10,10,77,5761,1231,75,1079,1333,–,–,–,–,–,75,1079,1333,1011201
01011202,413,11,71,150,96,61,16,8,76,1464,428,30,283,305,2,3,2,5,4,26,275,299,1011202
01011203,670,44,160,164,176,94,23,9,82,2250,600,45,428,506,6,21,2,5,4,37,402,496,1011203
01011204,5018,343,1149,1461,1296,505,140,124,951,16524,3772,182,3593,4859,19,51,16,47,32,147,3494,4808,1011204
01011301,4574,270,1196,1695,843,413,93,64,487,14229,3541,293,3138,4062,16,23,10,21,20,267,3093,4026,1011301
01011302,7159,265,1349,2259,2033,881,257,115,935,24754,5744,653,5197,6558,28,33,14,40,28,611,5124,6502,1011302
01011303,6144,616,1649,1559,1741,460,89,30,221,18610,3778,279,3511,5828,3,6,6,12,12,270,3493,5813,1011303
01011304,4787,25,689,1643,1793,616,11,10,85,16735,3098,195,3096,4785,–,–,–,–,–,195,3096,4785,1011304
01011305,4590,168,829,2013,1050,473,53,4,33,14781,2820,205,2739,4504,2,2,1,1,2,202,2736,4500,1011305
01011306,5215,323,1103,1406,1679,611,61,32,240,17124,3507,270,3385,4911,11,17,3,6,6,256,3362,4894,1011306
01011401,9259,438,2167,3403,2340,624,195,92,701,29332,6911,701,6691,8986,40,60,8,16,16,653,6615,8930,1011401
01011402,7464,300,1519,2892,2040,486,143,84,660,24122,5409,595,5305,7334,12,13,4,8,8,579,5284,7314,1011402
01022101,1913,109,670,787,242,82,17,6,47,5337,1193,98,1156,1870,–,–,–,–,–,98,1156,1870,1022101
01022102,3380,228,973,1350,622,144,45,18,147,9849,2074,222,2054,3347,2,1,2,3,4,218,2050,3341,1022102
01022103,92,10,38,25,15,3,1,–,–,242,61,10,54,83,1,1,2,4,4,7,49,78,1022103
01022104,10284,808,2664,3705,2155,689,189,74,592,31042,6734,644,6499,9903,5,5,4,6,8,635,6488,9890,1022104
01022105,2596,185,722,965,488,184,40,12,97,7733,1697,168,1674,2567,1,1,–,–,–,167,1673,2566,1022105
01022106,6481,244,1343,2283,1663,674,212,62,464,21537,4789,408,4696,6351,4,4,2,3,4,402,4690,6343,1022106
01022201,5721,306,1327,2012,1470,436,110,60,510,18226,4073,371,3954,5562,7,10,4,8,8,360,3936,5547,1022201
01022202,799,18,195,285,192,74,24,11,84,2629,670,62,666,797,–,–,–,–,–,62,666,797,1022202
01022203,3292,168,658,1228,942,220,64,12,91,10511,2212,236,2180,3249,–,–,1,2,2,235,2179,3247,1022203
01022204,3504,270,811,1340,597,312,131,43,316,10962,2543,228,2508,3467,4,4,5,10,10,219,2494,3453,1022204
01022205,1452,178,432,421,316,85,19,1,9,4117,976,100,943,1402,10,11,–,–,–,90,932,1392,1022205
01022206,1999,413,513,559,360,102,26,26,188,5410,1322,118,1320,1997,–,–,–,–,–,118,1320,1997,1022206
01022207,3699,566,1011,818,832,352,70,50,377,10927,2399,184,2225,3260,33,43,3,5,6,148,2177,3221,1022207
01033101,11767,436,2542,4934,2835,833,131,56,450,37063,7600,894,7486,11556,27,27,17,23,34,850,7436,11495,1033101
01033102,5681,573,1142,1911,1572,408,61,14,123,17407,3573,501,3392,5182,120,96,4,5,8,377,3291,5054,1033102
01033201,6074,370,1386,1831,1830,532,125,–,–,19365,3936,397,3863,5882,3,2,4,9,8,390,3852,5871,1033201
01033202,4522,63,728,2122,1275,297,31,6,51,14707,3000,282,2819,4209,13,14,1,3,2,268,2803,4194,1033202
01033203,6519,312,1540,2287,1747,507,91,35,259,20581,4235,421,4129,6385,2,1,2,4,4,417,4125,6379,1033203
01044101,11081,388,3060,4707,2032,653,177,64,496,33580,6940,1038,6865,10973,110,121,10,16,20,918,6728,10843,1044101
01044102,8879,206,1525,3869,2714,484,66,15,116,28651,5546,793,5303,8412,46,44,4,7,8,743,5252,8358,1044102
01044103,4408,340,1091,1603,906,361,72,35,274,13466,2840,295,2743,4179,4,4,1,1,2,290,2738,4173,1044103
01044201,10150,461,2457,3923,2459,692,99,59,463,31497,6765,730,6652,9987,1,1,6,7,12,723,6644,9974,1044201
01044202,8979,1218,2518,3205,1402,516,96,24,208,24841,5193,455,4875,7899,2,1,1,1,2,452,4873,7895,1044202
01044203,8330,406,2356,3594,1554,353,54,13,99,24304,5113,481,4946,8005,5,5,–,–,–,476,4941,8000,1044203
