id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
7100102,5090,738,1210,1651,1005,319,110,57,429,14815,3504,273,3295,4626,9,8,1.0,1.0,2.0,263,3287,4615,7100102
7100103,3905,182,1033,1287,906,416,56,25,181,12330,2770,240,2643,3675,2,2,1.0,1.0,2.0,237,2640,3671,7100103
7100204,6106,307,1620,1920,1608,419,174,58,438,19316,4393,390,4177,5808,11,9,4.0,6.0,8.0,375,4162,5789,7100204
7100205,2547,315,436,900,621,211,44,20,142,7832,1743,188,1690,2460,3,2,2.0,3.0,4.0,183,1685,2453,7100205
7100206,4618,379,1276,1533,1021,324,72,13,98,13764,3174,324,3170,4614,3,3,2.0,3.0,4.0,319,3165,4607,7100206
7200307,6470,447,1457,2053,1528,595,257,133,980,21129,4720,453,4668,6414,8,10,2.0,6.0,4.0,443,4653,6402,7200307
7200308,5870,632,1506,1771,1265,465,167,64,497,17841,4051,384,3989,5773,7,7,2.0,2.0,4.0,375,3979,5762,7200308
7200409,5272,436,1319,1793,1039,488,154,43,311,16284,3883,340,3725,5053,14,11,0.0,0.0,0.0,326,3714,5039,7200409
7200410,2885,106,648,1075,786,216,40,14,105,9196,2015,180,1999,2869,10,9,1.0,1.0,2.0,169,1989,2857,7200410
7200411,1384,72,291,439,359,141,65,17,120,4622,1139,129,1115,1355,5,5,2.0,3.0,4.0,122,1107,1346,7200411
7200412,917,187,237,202,155,105,29,2,17,2603,552,48,517,767,9,6,0.0,0.0,0.0,39,511,758,7200412
7200413,4623,316,1143,1639,1079,315,111,20,153,14229,3222,323,3184,4568,7,6,1.0,3.0,2.0,315,3175,4559,7200413
7200414,2102,192,505,714,517,130,33,11,82,6342,1468,146,1466,2098,5,5,0.0,0.0,0.0,141,1461,2093,7200414
7300515,3858,132,574,1287,1130,492,183,60,458,13677,3150,311,3114,3814,9,11,0.0,0.0,0.0,302,3103,3805,7300515
7300516,5018,214,1014,1628,1317,609,174,62,496,16979,3882,408,3815,4894,15,29,4.0,8.0,8.0,389,3777,4871,7300516
7300517,4697,146,705,1527,1225,680,273,141,1073,17148,4041,413,3951,4602,26,46,11.0,21.0,22.0,376,3883,4554,7300517
7300618,5025,205,931,1397,1412,740,266,74,599,17801,3922,496,3883,4972,24,37,9.0,19.0,18.0,463,3827,4930,7300618
7300619,6219,142,1627,1950,1664,660,130,46,344,20326,4461,518,4383,6111,13,20,4.0,7.0,8.0,501,4356,6090,7300619
7400720,5805,134,1181,2665,1204,452,118,51,388,18663,3834,611,3797,5769,56,51,46.0,57.0,92.0,509,3689,5621,7400720
7400721,2253,8,191,578,581,323,263,309,2392,10033,2321,1041,2312,2245,852,1202,69.0,127.0,138.0,120,983,1255,7400721
7400822,1597,2,213,708,452,157,53,12,87,5550,1052,243,1052,1597,68,72,10.0,14.0,20.0,165,966,1509,7400822
7400823,5652,112,747,2796,1663,289,34,11,82,18377,3406,674,3396,5641,7,8,1.0,2.0,2.0,666,3386,5632,7400823
7400824,3842,113,764,1526,1061,313,45,20,155,12453,2764,351,2727,3805,19,19,8.0,16.0,16.0,324,2692,3770,7400824
7400825,4154,262,896,1777,949,218,35,17,130,12611,2792,330,2749,4092,2,2,4.0,6.0,8.0,324,2741,4082,7400825
7400826,2969,212,279,1022,960,361,70,65,508,10409,1996,585,1920,2759,260,321,28.0,46.0,56.0,297,1553,2443,7400826
7400927,5861,280,1046,2763,1274,371,91,36,289,18447,3849,511,3751,5663,22,30,6.0,10.0,12.0,483,3711,5629,7400927
7400928,2283,386,919,668,260,33,13,4,40,5551,1283,302,1264,2263,32,47,0.0,0.0,0.0,270,1218,2231,7400928
7501029,4542,376,956,1652,1329,191,30,8,70,13765,2917,422,2910,4536,11,14,7.0,12.0,14.0,404,2884,4511,7501029
7501030,4753,158,1209,1926,1170,235,46,9,66,14551,3065,482,3036,4710,12,11,5.0,12.0,10.0,465,3014,4688,7501030
7501031,5352,87,878,2487,1521,283,77,19,136,17401,3361,757,3322,5298,180,177,9.0,17.0,18.0,568,3128,5100,7501031
7501032,3089,22,451,1151,975,333,89,68,544,11020,2188,751,2184,3084,373,448,57.0,104.0,114.0,321,1632,2597,7501032
7501133,4557,409,1649,1377,739,267,79,37,273,12876,2821,615,2808,4544,243,280,19.0,35.0,38.0,353,2494,4263,7501133
7501134,5285,423,815,1593,1262,670,288,234,1798,18756,4282,1746,4214,5149,1185,1525,180.0,323.0,360.0,381,2366,3604,7501134
7501135,1071,13,116,246,298,206,103,89,698,4521,1045,635,1041,1069,506,620,65.0,116.0,130.0,64,304,433,7501135
