id,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,,100 m²,Anzahl
01,13332,129722,193731,569,662,184,372,368,12527,127375,188846,52,1314,3948
,9753,103368,150466,296,396,89,173,178,9355,102480,149169,13,320,823
03,37223,156271,214135,19162,22335,1589,2893,3178,16446,130631,190654,26,413,1141
,17998,141861,181206,3980,6757,696,1739,1392,13264,132301,173265,58,1064,2569
05,28134,88152,118834,17373,20777,1597,2958,3194,9147,64175,97802,17,243,465
06,40731,133118,156123,22646,33133,2781,6302,5562,15214,92622,125125,90,1061,2790
,28705,134446,179595,13124,16017,1464,2733,2928,14079,115054,162041,38,642,1502
08,28208,113261,162349,15855,17796,1480,2700,2960,10841,92252,142306,32,512,1228
09,37865,103320,141673,23832,26416,2101,3846,4202,11888,72477,111895,44,581,1744
