id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
6010101,3554,142,339,873,1000,648,335,217,1710,14399,3155,746,3105,3443,318,468,39.0,99.0,78.0,389,2538,3047,6010101
6010102,4916,289,819,1605,1373,538,191,101,797,16867,3772,407,3581,4678,6,6,5.0,6.0,10.0,396,3569,4662,6010102
6010103,3342,72,500,1277,947,443,77,26,202,11570,2524,286,2491,3304,3,2,2.0,2.0,4.0,281,2487,3297,6010103
6010204,3821,428,663,1432,829,277,118,74,567,12026,2578,580,2557,3794,142,210,8.0,16.0,16.0,430,2331,3636,6010204
6010205,5416,234,1098,1894,1340,510,185,155,1226,18358,4087,729,4040,5364,204,303,34.0,67.0,68.0,491,3670,5092,6010205
6010206,4446,209,845,1652,1032,506,119,83,642,14869,3126,472,3106,4418,52,78,11.0,29.0,22.0,409,2998,4344,6010206
6010207,4460,149,704,1672,1327,410,119,79,598,15243,3233,496,3203,4412,31,54,16.0,34.0,32.0,449,3114,4349,6010207
6010208,3813,145,912,1234,883,423,134,82,650,12772,2795,366,2757,3755,17,29,13.0,27.0,26.0,336,2701,3712,6010208
6010209,5212,138,1040,1889,1613,422,78,32,247,17162,3602,475,3499,5108,5,3,0.0,0.0,0.0,470,3496,5103,6010209
6010210,2712,76,370,1122,770,269,82,23,167,9266,1880,263,1874,2704,1,1,1.0,2.0,2.0,261,1871,2701,6010210
6020301,2693,29,513,816,784,297,137,117,975,9921,2095,708,2090,2687,440,550,43.0,88.0,86.0,225,1451,2161,6020301
6020302,2916,200,372,949,747,354,141,153,1281,10676,2373,693,2309,2750,290,443,68.0,146.0,136.0,335,1720,2324,6020302
6020303,4305,174,941,1614,1303,234,22,17,138,13550,2741,526,2713,4267,36,40,8.0,11.0,16.0,482,2661,4215,6020303
6020304,4164,319,702,1587,1056,338,102,60,476,13486,2764,593,2725,4115,125,176,25.0,48.0,50.0,443,2501,3940,6020304
6020305,6096,713,913,1767,1861,577,158,107,834,19951,4030,887,3896,5620,379,525,16.0,33.0,32.0,492,3339,5209,6020305
6020306,3277,78,514,774,730,549,331,301,2414,13493,2932,1729,2899,3236,1352,1594,90.0,173.0,180.0,287,1132,1704,6020306
6020407,2465,105,678,483,903,286,6,4,35,8023,1585,108,1583,2463,9,11,3.0,6.0,6.0,96,1566,2448,6020407
6020408,3885,31,699,1376,1027,401,188,163,1263,14061,2845,970,2813,3849,566,697,62.0,121.0,124.0,342,1996,3159,6020408
6020409,4528,461,628,1352,1141,570,165,211,1766,15943,3603,926,3499,4323,377,559,68.0,173.0,136.0,481,2766,3810,6020409
6020410,3506,39,362,862,1033,597,292,321,2622,14840,3310,1204,3218,3401,680,960,153.0,313.0,306.0,371,1945,2415,6020410
6020411,3967,50,251,994,1130,811,396,335,2651,17136,3681,1795,3649,3939,1358,1660,152.0,284.0,304.0,285,1704,2277,6020411
6030501,2661,29,171,739,664,495,301,262,2070,11595,2528,1305,2498,2629,996,1231,76.0,148.0,152.0,233,1118,1481,6030501
6030502,3326,116,845,1154,842,287,42,40,341,10664,2119,569,2113,3319,187,227,25.0,41.0,50.0,357,1846,3082,6030502
6030503,6351,107,773,1802,2061,985,391,232,1870,24444,5162,988,5018,6194,208,318,68.0,147.0,136.0,712,4553,5850,6030503
6030504,5338,77,534,1213,1367,887,603,657,5276,23581,5304,2417,5264,5297,1650,2348,236.0,506.0,472.0,531,2410,3175,6030504
6030605,3784,255,600,952,1083,429,233,232,1871,14057,3159,653,3083,3653,208,343,41.0,108.0,82.0,404,2632,3363,6030605
6030606,2682,226,410,966,659,246,103,72,553,8981,1974,400,1942,2645,150,207,19.0,52.0,38.0,231,1683,2457,6030606
6030607,1460,254,78,230,456,264,139,39,307,5385,1082,341,984,1144,210,236,25.0,55.0,50.0,106,692,884,6030607
6030608,5520,223,429,831,1375,1279,781,602,4789,24944,5767,2964,5748,5504,2402,3288,190.0,364.0,380.0,372,2096,2722,6030608
6030609,6411,389,772,1933,1730,894,364,329,2665,23971,5383,1252,5286,6288,378,582,103.0,260.0,206.0,771,4444,5704,6030609
6030610,4105,68,385,1171,999,669,328,485,4085,17745,4179,1243,4062,3995,600,1015,165.0,403.0,330.0,478,2644,3065,6030610
6040701,4941,191,511,977,1120,896,561,685,5838,22308,5469,2395,5289,4622,1829,2854,194.0,433.0,388.0,372,2002,2405,6040701
6040702,2212,14,154,189,746,547,351,211,1608,10322,2359,840,2351,2204,591,785,33.0,66.0,66.0,216,1500,1547,6040702
6040703,5493,605,772,886,1161,787,512,770,6355,22813,5554,2015,5273,4722,1309,2154,190.0,517.0,380.0,516,2603,3033,6040703
6040804,3773,54,262,658,899,736,539,625,5454,18516,4419,1786,4358,3724,1235,2005,159.0,395.0,318.0,392,1958,2171,6040804
6040805,2669,100,342,574,553,483,253,364,3057,11708,2729,1037,2645,2566,636,986,86.0,218.0,172.0,315,1441,1758,6040805
6040806,3803,35,558,1262,534,528,558,328,2590,15651,3202,1917,3198,3792,1418,1713,34.0,68.0,68.0,465,1416,2306,6040806
6040807,3001,88,322,891,690,375,269,366,2991,12645,2914,945,2602,2636,552,922,86.0,197.0,172.0,307,1483,1912,6040807
6040808,2064,124,187,354,647,481,194,77,613,8330,2010,342,1957,1945,132,245,5.0,18.0,10.0,205,1695,1803,6040808
6040809,2118,111,138,343,434,306,286,500,4245,10643,2708,941,2637,1982,658,1275,98.0,241.0,196.0,185,1121,1128,6040809
6040810,3503,205,338,630,736,582,320,692,6334,16879,4679,1399,4555,3250,942,2125,137.0,420.0,274.0,320,2010,2034,6040810
